Key,Type,Desc,Plural,Group,Descriptions,English [en-US],French [fr-FR],German [de-DE],Russian,Portuguese (Brazil),Chinese [zh-CN]
SeraphTheColdhearted_CharacterData_NameKey,Text,,,,,Seraph the Coldhearted,Seraph the Coldhearted,Seraph the Coldhearted,Seraph the Coldhearted,Seraph the Coldhearted,Seraph the Coldhearted
SeraphTheColdhearted_ScenarioData_BattleNameKey,Text,,,,,Seraph the Coldhearted,Seraph the Coldhearted,Seraph the Coldhearted,Seraph the Coldhearted,Seraph the Coldhearted,Seraph the Coldhearted
SeraphTheColdhearted_ScenarioData_BattleDescriptionKey,Text,,,,,The end is near. This incarnation of Hell's greatest foe wields the <b>chilling power of frost</b>. This fight will require more than sheer strength.,The end is near. This incarnation of Hell's greatest foe wields the <b>chilling power of frost</b>. This fight will require more than sheer strength.,The end is near. This incarnation of Hell's greatest foe wields the <b>chilling power of frost</b>. This fight will require more than sheer strength.,The end is near. This incarnation of Hell's greatest foe wields the <b>chilling power of frost</b>. This fight will require more than sheer strength.,The end is near. This incarnation of Hell's greatest foe wields the <b>chilling power of frost</b>. This fight will require more than sheer strength.,The end is near. This incarnation of Hell's greatest foe wields the <b>chilling power of frost</b>. This fight will require more than sheer strength.
SeraphTheColdheartedMBI_ScenarioData_BattleDescriptionKey,Text,,,,,The end is near. Hell's greatest foe whittles the health of your units away with frostbite. Frostwings will appear and sweep your units adding additional frostbite.,The end is near. Hell's greatest foe whittles the health of your units away with frostbite. Frostwings will appear and sweep your units adding additional frostbite.,The end is near. Hell's greatest foe whittles the health of your units away with frostbite. Frostwings will appear and sweep your units adding additional frostbite.,The end is near. Hell's greatest foe whittles the health of your units away with frostbite. Frostwings will appear and sweep your units adding additional frostbite.,The end is near. Hell's greatest foe whittles the health of your units away with frostbite. Frostwings will appear and sweep your units adding additional frostbite.,The end is near. Hell's greatest foe whittles the health of your units away with frostbite. Frostwings will appear and sweep your units adding additional frostbite.
FreezingEmblem_SinsData_NameKey,Text,,,,,Freezing Emblem,Freezing Emblem,Freezing Emblem,Freezing Emblem,Freezing Emblem,Freezing Emblem
FreezingEmblem_SinsData_DescriptionKey,Text,,,,,Friendly units enter with [frostbite] [effect0.status0.power].,Friendly units enter with [frostbite] [effect0.status0.power].,Friendly units enter with [frostbite] [effect0.status0.power].,Friendly units enter with [frostbite] [effect0.status0.power].,Friendly units enter with [frostbite] [effect0.status0.power].,Friendly units enter with [frostbite] [effect0.status0.power].
Frostwings_CharacterData_NameKey,Text,,,,,Frostwings,Frostwings,Frostwings,Frostwings,Frostwings,Frostwings
Frostwings_CharacterData_DescriptionKey,Text,,,,,"These Winged are similar to their Pyrewing counterpart, except the shards of the Pyre have lost their power turning them chilly.","These Winged are similar to their Pyrewing counterpart, except the shards of the Pyre have lost their power turning them chilly.","These Winged are similar to their Pyrewing counterpart, except the shards of the Pyre have lost their power turning them chilly.","These Winged are similar to their Pyrewing counterpart, except the shards of the Pyre have lost their power turning them chilly.","These Winged are similar to their Pyrewing counterpart, except the shards of the Pyre have lost their power turning them chilly.","These Winged are similar to their Pyrewing counterpart, except the shards of the Pyre have lost their power turning them chilly."
Frostwings_Strike_CharacterTriggerData_DescriptionKey,Text,,,,,Apply [frostbite] [effect0.status0.power] to the attacked unit.,Apply [frostbite] [effect0.status0.power] to the attacked unit.,Apply [frostbite] [effect0.status0.power] to the attacked unit.,Apply [frostbite] [effect0.status0.power] to the attacked unit.,Apply [frostbite] [effect0.status0.power] to the attacked unit.,Apply [frostbite] [effect0.status0.power] to the attacked unit.
Cuttlebeard_CollectableRelicData_DescriptionKey,Text,,,,,Grant +[effect0.status0.power] stacks of [frostbite] each time it is applied to enemy units. [frostbite] does not decay on enemy units.,Grant +[effect0.status0.power] stacks of [frostbite] each time it is applied to enemy units. [frostbite] does not decay on enemy units.,Grant +[effect0.status0.power] stacks of [frostbite] each time it is applied to enemy units. [frostbite] does not decay on enemy units.,Grant +[effect0.status0.power] stacks of [frostbite] each time it is applied to enemy units. [frostbite] does not decay on enemy units.,Grant +[effect0.status0.power] stacks of [frostbite] each time it is applied to enemy units. [frostbite] does not decay on enemy units.,Grant +[effect0.status0.power] stacks of [frostbite] each time it is applied to enemy units. [frostbite] does not decay on enemy units.
